SUBMITTED_BY,ADDRESS,CHAIN,ENTITY_NAME,NAME,CATEGORIES,ATTRIBUTES,TAGGED_ON
Chaintool,0x4d77a1144dc74f26838b69391a6d3b1e403d0990,ETH,huobi,Huobi 32,["Exchange"],,2022-12-01
Chaintool,0xb9a4873d8d2c22e56b8574e8605644d08e047549,ETH,huobi,Huobi: Old Address 14,["Exchange"],,2022-12-01
Chaintool,0x2f47a1c2db4a3b78cda44eade915c3b19107ddcc,ETH,binance,Binance: Eth2 Depositor,["Exchange"],,2022-12-01
Chaintool,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,ETH,kucoin,KuCoin 9,["Exchange"],,2022-12-01
Chaintool,0x9eebb2815dba2166d8287afa9a2c89336ba9deaa,ETH,huobi,Huobi: Old Address 27,["Exchange"],,2022-12-01
Chaintool,0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,ETH,binance,Binance,["Exchange"],,2022-12-01
Chaintool,0x91dfa9d9e062a50d2f351bfba0d35a9604993dac,ETH,huobi,Huobi: Old Address 12,["Exchange"],,2022-12-01
Chaintool,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,ETH,huobi,Huobi 18,["Exchange"],,2022-12-01
Chaintool,0x1692e170361cefd1eb7240ec13d048fd9af6d667,ETH,kucoin,KuCoin 5,["Exchange"],,2022-12-01
Chaintool,0x0b95993a39a363d99280ac950f5e4536ab5c5566,ETH,binance,Binance: Contract,["Exchange"],,2022-12-01
Chaintool,0xfd54078badd5653571726c3370afb127351a6f26,ETH,huobi,Huobi: Deposit Funder,["Exchange"],,2022-12-01
Chaintool,0xe59cd29be3be4461d79c0881d238cbe87d64595a,ETH,kucoin,KuCoin 7,["Exchange"],,2022-12-01
Chaintool,0xeec606a66edb6f497662ea31b5eb1610da87ab5f,ETH,huobi,Huobi 16,["Exchange"],,2022-12-01
Chaintool,0xd10e08325c0e95d59c607a693483680fe5b755b3,ETH,huobi,Huobi: Old Address 28,["Exchange"],,2022-12-01
Chaintool,0x60b45f993223dcb8bdf05e3391f7630e5a51d787,ETH,huobi,Huobi: Old Address 25,["Exchange"],,2022-12-01
Chaintool,0xe93381fb4c4f14bda253907b18fad305d799241a,ETH,huobi,Huobi 10,["Exchange"],,2022-12-01
Chaintool,0x2602669a92fccf44e5319ff51b0f453aab9db021,ETH,kucoin,KuCoin Contract,["Exchange"],,2022-12-01
Chaintool,0xd3a2f775e973c1671f2047e620448b8662dcd3ca,ETH,huobi,Huobi: Old Address 23,["Exchange"],,2022-12-01
Chaintool,0x25c6459e5c5b01694f6453e8961420ccd1edf3b1,ETH,huobi,Huobi: Old Address 7,["Exchange"],,2022-12-01
Chaintool,0xea0cfef143182d7b9208fbfeda9d172c2aced972,ETH,huobi,Huobi: Old Address 10,["Exchange"],,2022-12-01
Chaintool,0x49517ca7b7a50f592886d4c74175f4c07d460a70,ETH,huobi,Huobi 38,["Exchange"],,2022-12-01
Chaintool,0x871baed4088b863fd6407159f3672d70cd34837d,ETH,ftx,FTX: 3X Long Ethereum Token,["Exchange"],,2022-12-01
Chaintool,0x8aabba0077f1565df73e9d15dd3784a2b0033dad,ETH,huobi,Huobi: Old Address 22,["Exchange"],,2022-12-01
Chaintool,0x170af0a02339743687afd3dc8d48cffd1f660728,ETH,huobi,Huobi: Old Address 15,["Exchange"],,2022-12-01
Chaintool,0xf056f435ba0cc4fcd2f1b17e3766549ffc404b94,ETH,huobi,Huobi 23,["Exchange"],,2022-12-01
Chaintool,0x899b5d52671830f567bf43a14684eb14e1f945fe,ETH,kucoin,KuCoin 8,["Exchange"],,2022-12-01
Chaintool,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,ETH,huobi,Huobi 7,["Exchange"],,2022-12-01
Chaintool,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,ETH,kucoin,KuCoin 4,["Exchange"],,2022-12-01
Chaintool,0x5861b8446a2f6e19a067874c133f04c578928727,ETH,huobi,Huobi 14,["Exchange"],,2022-12-01
Chaintool,0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325,ETH,huobi,Huobi 20,["Exchange"],,2022-12-01
Chaintool,0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c,ETH,huobi,Huobi 39,["Exchange"],,2022-12-01
Chaintool,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,ETH,huobi,Huobi 36,["Exchange"],,2022-12-01
Chaintool,0x5401dbf7da53e1c9dbf484e3d69505815f2f5e6e,ETH,huobi,Huobi 25,["Exchange"],,2022-12-01
Chaintool,0xa66daa57432024023db65477ba87d4e7f5f95213,ETH,huobi,Huobi Pool Token,["Exchange"],,2022-12-01
Chaintool,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,ETH,huobi,Huobi: Old Address 1,["Exchange"],,2022-12-01
Chaintool,0x1c515eaa87568c850043a89c2d2c2e8187adb056,ETH,huobi,Huobi: Old Address 24,["Exchange"],,2022-12-01
Chaintool,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,ETH,huobi,Huobi 34,["Exchange"],,2022-12-01
Chaintool,0x1b93129f05cc2e840135aab154223c75097b69bf,ETH,huobi,Huobi: Old Address 2,["Exchange"],,2022-12-01
Chaintool,0xa23d7dd4b8a1060344caf18a29b42350852af481,ETH,huobi,Huobi: Old Address 26,["Exchange"],,2022-12-01
Chaintool,0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,ETH,huobi,Huobi 11,["Exchange"],,2022-12-01
Chaintool,0x61189da79177950a7272c88c6058b96d4bcd6be2,ETH,binance,Binance US,["Exchange"],,2022-12-01
Chaintool,0xc837f51a0efa33f8eca03570e3d01a4b2cf97ffd,ETH,huobi,Huobi: Old Address 29,["Exchange"],,2022-12-01
Chaintool,0x016ee7373248a80bde1fd6baa001311d233b3cfa,ETH,ftx,FTX: 3X Short Bitcoin Token,["Exchange"],,2022-12-01
Chaintool,0x04645af26b54bd85dc02ac65054e87362a72cb22,ETH,huobi,Huobi: Old Address 8,["Exchange"],,2022-12-01
Chaintool,0x7ef35bb398e0416b81b019fea395219b65c52164,ETH,huobi,Huobi 17,["Exchange"],,2022-12-01
Chaintool,0xb2a48f542dc56b89b24c04076cbe565b3dc58e7b,ETH,huobi,Huobi: Old Address 9,["Exchange"],,2022-12-01
